FOCAL,INDUCER,TREATMENT,SUBPLOT,FILENAME,PLOT,POSITION,COMBO,RESIDENT.CODE,LEAF.TYPE,LEAF.LENGTH.SQUARES,LEAF.MAX.WIDTH,POSITION.MAX.WIDTH,FORM,MARGINS,LOBES,TOTAL.AREA,AVERAGE.SIZE,PERCENT.AREA,MAJOR,MINOR,ANGLE,CIRCULARITY,SOLODITY,COMMENTS
Cen,Pap,Pap(Cen),1-A,1A_6LL.JPG,1,6,1-A:6,Pap-2,Longest,18.294,1.079,13.258,Oblong,smooth,,12.544,12.544,12.962,17.043,0.937,171.592,0.093,0.637,
Cen,Pap,Pap(Cen),1-A,1A_6ML.JPG,1,6,1-A:6,Pap-2,Medium leaf,17.136,4.514,12.663,Oblong,smooth,,8.52,8.52,15.824,13.856,0.783,173.327,0.107,0.69,Quality of picture is really bad
Bug,Pap,Pap(Bug),1-A,1A_13LL.JPG,1,13,1-A:13,Pap-2,Longest,6.195,1.583,3.729,Elliptic,smooth,,7.923,7.923,19.867,6.435,1.568,165.975,0.374,0.918,
Bug,Pap,Pap(Bug),1-A,1A_13ML.JPG,1,13,1-A:13,Pap-2,Medium leaf,5.982,1.192,3.702,Oblong,smooth,,6.125,6.125,35.723,6.317,1.234,11.518,0.379,0.939,
Cen,Sin,Sin(Cen),1-B,1B_3LL.JPG,1,3,1-B:3,Sin-1,Longest,10.792,1.326,6.43,Oblong,smooth,,9.765,9.765,21.072,10.355,1.201,92.92,0.203,0.84,
Cen,Sin,Sin(Cen),1-B,1B_3ML.JPG,1,3,1-B:3,Sin-1,Medium leaf,8.871,0.728,2.371,ovate,smooth,,5.079,5.079,10.934,7.286,0.888,64.813,0.141,0.61,bad quality pic
Bug,Bug,Bug(Bug),5-A,5A_1LL.JPG,5,1,5-A:1,None-3,Longest,5.268,1.077,3.023,Oblong,smooth,,4.609,4.609,15.34,5.61,1.046,73.659,0.35,0.929,
Bug,Bug,Bug(Bug),5-A,5A_1ML.JPG,5,1,5-A:1,None-3,Medium leaf,4.284,1.049,1.746,Oblong,smooth,,3.686,3.686,14.107,4.274,1.098,0.628,0.331,0.92,
Sin,Pap,Pap(Sin),5-A,5A_5LL.JPG,5,5,5-A:5,None-3,Longest,48.369,22.477,25.821,ovate,"lobed, smooth",5,623.192,623.192,47.775,41.454,19.141,176.244,0.215,0.786,
Sin,Pap,Pap(Sin),5-A,5A_5ML.JPG,5,5,5-A:5,None-3,Medium leaf,25.366,15.354,8.823,ovate,"lobed, smooth",2,250.197,250.197,54.527,23.429,13.597,89.239,0.211,0.846,
Cen,Pap,Pap(Cen),5-A,5A_7LL.JPG,5,7,5-A:7,None-3,Longest,19.761,1.765,14.032,obovate,smooth,,23.599,23.599,20.574,18.275,1.644,3.849,0.137,0.827,
Cen,Pap,Pap(Cen),5-A,5A_7ML.JPG,5,7,5-A:7,None-3,Medium leaf,15.942,1.442,11.44,obovate,smooth,,10.175,10.175,8.111,9.093,1.425,8.987,0.098,0.314,leaf folded - along axis --> area not precise
Pap,Cen,Cen(Pap),5-A,5A_10LL.JPG,5,10,5-A:10,None-3,Longest,7.323,2.249,4.77,obovate,"lobbed, toothed",3,11.399,11.399,21.567,7.401,1.961,95.953,0.253,0.749,
Pap,Cen,Cen(Pap),5-A,5A_10ML.JPG,5,10,5-A:10,None-3,Medium leaf,6.635,2.618,4.307,obovate,toothed,,12.302,12.302,28.519,6.391,2.451,77.478,0.456,0.92,
Pap,Sin,Sin(Pap),5-A,5A_11LL.JPG,5,11,5-A:11,None-3,Longest,6.902,1.925,5.365,obovate,"lobbed, toothed",3,9.918,9.918,20.665,6.408,1.971,80.8,0.234,0.713,
Pap,Sin,Sin(Pap),5-A,5A_11ML.JPG,5,11,5-A:11,None-3,Medium leaf,4.867,2.001,2.714,oval,toothed,,7.178,7.178,18.441,4.798,1.905,78.338,0.506,0.928,
Sil,Sil,Sil(Sil),5-A,5A_13LL.JPG,5,13,5-A:13,None-3,Longest,7.97,3.169,3.564,oval,smooth,,18.428,18.428,26.233,7.46,3.145,91.158,0.406,0.921,
Sil,Sil,Sil(Sil),5-A,5A_13ML.JPG,5,13,5-A:13,None-3,Medium leaf,5.215,2.17,2.681,oval,smooth,,9.47,9.47,22.165,5.088,2.37,172.088,0.573,0.947,
Bug,None,None(Bug),5-A,5A_15LL.JPG,5,15,5-A:15,None-3,Longest,10.153,2.475,5.856,Oblong,smooth,,20.333,20.333,26.69,10.462,2.474,179.155,0.401,0.919,
Bug,None,None(Bug),5-A,5A_15ML.JPG,5,15,5-A:15,None-3,Medium leaf,7.154,1.806,3.374,Oblong,smooth,,11.393,11.393,24.876,7.409,1.958,5.668,0.367,0.93,
Sil,None,None(Sil),5-B,5B_1LL.JPG,5,1,5-B:1,None-3,Longest,4.729,2.358,3.417,obovate,smooth,,7.943,7.943,20.67,4.498,2.248,108.638,0.389,0.93,
Sil,None,None(Sil),5-B,5B_1ML.JPG,5,1,5-B:1,None-3,Medium leaf,4.01,1.549,2.216,obovate,smooth,,5.016,5.016,18.186,3.84,1.663,117.738,0.537,0.924,
Cen,Cen,Cen(Cen),5-B,5B_3LL.JPG,5,3,5-B:3,None-3,Longest,23.548,2.209,15.228,Oblong,smooth,,33.413,33.413,9.743,10.514,4.046,56.269,0.125,0.31,leaf partially folded
Cen,Cen,Cen(Cen),5-B,5B_3ML.JPG,5,3,5-B:3,None-3,Medium leaf,23.577,0.812,12.42,oblong,smooth,,18.813,18.813,7.304,18.522,1.293,167.659,0.085,0.472,
Bug,Pap,Pap(Bug),5-B,5B_8LL.JPG,5,8,5-B:8,None-3,Longest,8.802,1.776,6.278,Oblong,smooth,,13.383,13.383,19.22,9.264,1.839,83.544,0.371,0.967,
Bug,Pap,Pap(Bug),5-B,5B_8ML.JPG,5,8,5-B:8,None-3,Medium leaf,7.757,1.75,3.401,oblong,smooth,,11.068,11.068,19.31,8.033,1.754,128.905,0.331,0.962,
Sin,Bug,Bug(Sin),5-B,5B_9LL.JPG,5,9,5-B:9,None-3,Longest,15.478,8.212,5.906,ovate,smooth,,100.712,100.712,56.281,15.509,8.268,73.547,0.574,0.953,
Sin,Bug,Bug(Sin),5-B,5B_9ML.JPG,5,9,5-B:9,None-3,Medium leaf,12.15,7.331,2.819,ovate,toothed,,60.405,60.405,41.764,11.776,6.531,88.063,0.531,0.938,
Cen,Sin,Sin(Cen),5-B,5B_10LL.JPG,5,10,5-B:10,None-3,Longest,16.748,2.48,11.711,obovate,smooth,,25.376,25.376,7.018,14.772,2.187,98.928,0.237,0.859,
Cen,Sin,Sin(Cen),5-B,5B_10ML.JPG,5,10,5-B:10,None-3,Medium leaf,14.915,0.723,9.978,Oblong,smooth,,9.551,9.551,5.686,14.24,0.854,82.451,0.078,0.685,leaf partially folded
Sin,None,None(Sin),5-B,5B_13LL.JPG,5,13,5-B:13,None-3,Longest,30.27,16.431,11.975,oval,toothed lobed,3,353.335,353.335,38.028,28.865,15.585,13.596,0.398,0.887,
Sin,None,None(Sin),5-B,5B_13ML.JPG,5,13,5-B:13,None-3,Medium leaf,18.561,9.755,6.528,obvate,toothed,,119.702,119.702,39.579,18.12,8.411,127.82,0.449,0.9,not whole leaf measured
Sin,Cen,Cen(Sin),5-B,5B_15LL.JPG,5,15,5-B:15,None-3,Longest,21.369,9.014,11.514,Oblong,toothed,3,134.55,134.55,42.194,19.868,8.622,0.246,0.307,0.89,
Sin,Cen,Cen(Sin),5-B,5B_15ML.JPG,5,15,5-B:15,None-3,Medium leaf,17.608,5.951,6.262,ovate,toothed,2,69.554,69.554,44.677,16.712,5.299,175.319,0.314,0.849,
Cen,Bug,Bug(Cen),6-A,6A_11LL.JPG,6,11,6-A:11,Bug-2,Longest,19.075,3.705,13.322,obovate,smooth,,44.529,44.529,17.966,17.625,3.217,81.467,0.309,0.851,
Cen,Bug,Bug(Cen),6-A,6A_11ML.JPG,6,11,6-A:11,Bug-2,Medium leaf,16.633,0.774,10.641,obovate,smooth,,10.78,10.78,6.907,13.242,1.037,84.729,0.106,0.542,partially folded
Pap,None,None(Pap),6-A,6A_13LL.JPG,6,13,6-A:13,Bug-2,Longest,7.625,1.629,5.01,Oblong,smooth,,10.654,10.654,14.094,8.106,1.674,12.975,0.344,0.916,
Pap,None,None(Pap),6-A,6A_13ML.JPG,6,13,6-A:13,Bug-2,Medium leaf,6.807,1.406,2.879,Oblong,smooth,,7.973,7.973,11.57,6.436,1.577,35.07,0.308,0.807,
